title,book,page,unit,status,current_image,instruction,activity_id
"Describe the Scene",PB,10,,EMPTY,"","Use your eyes! 🧐 Look closely at the at the picture. Answer the questions to describe what you see. Try to use words from the lesson.",52d70aaf-c558-4979-a191-cd3f7b91e641
"Describe the Scene at Check-in",PB,10,,EMPTY,"","Use your eyes! 🧐 Look closely at the at the picture from Ahmed's journey. Answer the questions to describe what is happening. You can type or record ",f7f6663c-dc28-4789-a2fe-0075e9bcd9ea
"Describe the Scene",PB,11,,EMPTY,"","Use your eyes! 🧐 Look closely at the at the picture of the traffic accident. Record or type your answers to the questions to describe what is happeni",fc81ac7d-74bf-46f0-99c3-bc8e834fc847
"Describe the Scene",PB,12,,EMPTY,"","Use your eyes! 🧐 Look closely at the at the picture. Imagine you are a news reporter. Describe what happened using words from the lesson and the past",9412affa-9eb6-4906-a310-ac4222e683e9
"Describe the Scene",PB,12,,EMPTY,"","Use your eyes! 🧐 Look closely at the at the picture. Answer the questions using the past tenses you have learned. You can write your answers or recor",c61653ca-f938-4941-869b-c3a20c7139e1
"Describe the Scene",PB,13,,EMPTY,"","Use your eyes! 🧐 Look closely at the at the picture. Record yourself describing what is happening. Try to use words from the lesson. Answer the promp",7477b27b-65cf-4dfb-ba1c-c7b1c33a5c1b
"Dubai: Then and Now",PB,13,,EMPTY,"","Use your eyes! 🧐 Look closely at the at the picture of Dubai in 1937. Record yourself answering the questions. How is it different from Dubai today?",ec0aa959-bda2-4733-b168-667b54b9133f
"Describe Hussein's Adventures",PB,14,,EMPTY,"","Use your eyes! 🧐 Look closely at the at the picture showing Hussein's adventures. Answer the questions using the Present Perfect tense (e.g., He has.",71a3c3fa-be68-471e-ab8b-5ee47a317efe
"Describe the Scene",PB,14,,EMPTY,"","Use your eyes! 🧐 Look closely at the at the image showing the aftermath of a hurricane. Answer the questions to describe the scene. Use vocabulary fr",afbafe5b-5fe0-4cdb-b2c4-4ffe272b5273
"Describe the Scene",PB,16,,EMPTY,"","Use your eyes! 🧐 Look closely at the at the photograph of the survivors. Use the prompts to help you describe the situation. Try to use vocabulary fr",c7d2829a-b6f1-41ff-856f-47f1f6552ec5
"Speaking: Describe the Villa",PB,16,,EMPTY,"","Use your eyes! 🧐 Look closely at the at the floor plan. Imagine you are Paul Archer describing the new house to your family over the phone. Record yo",d4a653d6-45ac-4d3f-b2d6-b00431c9f182
"Describe the Room",PB,17,g10u3,EMPTY,"","Look at the image. Challenge yourself! 📝 Select the best option for one room (e.g., the bedroom or kitchen area) and describe it. What objects can yo",039e60a8-52ac-4797-a6e3-bf359dcef829
"Who was Queen Victoria?",PB,17,,EMPTY,"","Use your eyes! 🧐 Look closely at the at the picture. What do you know about this person? Answer the questions to prepare for the reading.",91f7360f-3c80-425e-a695-b6972151a06f
"At the Information Desk",PB,18,g10u3,EMPTY,"","Use your eyes! 🧐 Look closely at the at the picture. Answer the questions about what you see. You can write or record your answers.",65599585-b884-4e84-8f63-ef4e6981867a
"Describe the Last Picture",PB,18,,EMPTY,"","Use your eyes! 🧐 Use your eyes! 🧐 Look closely at the carefully at the at the last picture of the story. Answer the questions to describe what is ha",e9f32a8e-bd0f-4ebf-9512-102afc28f930
"Who Will Be Most Successful?",PB,18,,EMPTY,"","Use your eyes! 🧐 Look closely at the at the portrait of Diana. Based on her picture and the text on page 18, answer the questions. Record or type you",283af19f-3493-4784-aaed-08f7d9331e73
"Describe the Scene",PB,20,,EMPTY,"","Use your eyes! 🧐 Look closely at the at the picture of the cheese rolling race. Answer the questions to describe what is happening. You can write you",7b9936e0-15d3-4c32-b2e4-d51ab1f6acca
"Traditional Scottish Dress",PB,21,,EMPTY,"","Use your eyes! 🧐 Look closely at the at the picture. Answer the questions to describe what you see. You can record your answers.",55133e9c-839d-4a01-ada8-c4d449781a85
"At the Tower of London",PB,22,,EMPTY,"","Use your eyes! 🧐 Look closely at the at the picture from the story. Use the prompts to describe the scene in your own words. You can type or record y",19dd75c6-a9a1-48c2-804a-92e250e28cab
"Describe the Steps",PB,23,,EMPTY,"","Use your eyes! 🧐 Look closely at the at the picture showing the steps to make falafel. Answer the questions by describing what is happening in each s",affc0ac6-9d73-4eb4-ae68-c0fc1e474590
"Describe the Equipment",PB,25,,EMPTY,"","Use your eyes! 🧐 Look closely at the at the image of the diving equipment. Answer the questions. Try to use the infinitive of purpose (e.g., 'to swim",d12f911f-0683-4242-ab5e-4db649c78a46
"How to Cook Scrambled Eggs",PB,26,,EMPTY,"","Use your eyes! 🧐 Look closely at the at the flow chart from Workbook activity C. Record yourself describing the process of cooking scrambled eggs. Us",39217f52-0205-4fe8-b98f-6e4f8e1c506e
"Describe the Landscape",PB,27,,EMPTY,"","Use your eyes! 🧐 Look closely at the at the picture of the Yemeni mountains. Record yourself describing what you see. Try to use at least 3 vocabular",94dd93c9-74a0-42a2-80f7-f67885ba7b5c
"Describe the Fisherman",PB,28,,EMPTY,"","Use your eyes! 🧐 Look closely at the at the picture of Jim Duffy. Answer the questions to describe what you see and how he might be feeling.",56dba9b2-34ed-4199-9774-b0f79c762cb7
"Describe and Explain",PB,29,,EMPTY,"","Use your eyes! 🧐 Look closely at the at the image. First, describe what you see. Then, answer the questions about how the word for the main object en",6fe98f2a-5b48-4ff5-a69a-cdd3615f36c4
"Speaking: Describe the Statue of Liberty",PB,29,,EMPTY,"","Use your eyes! 🧐 Look closely at the at the picture. Use the keywords and answer the questions to prepare a short description of the Statue of Libert",12050b32-8cfe-4980-b3f8-9312954a7a32
"Describe the Scene",PB,30,,EMPTY,"","Use your eyes! 🧐 Look closely at the at the picture. Use the keywords to answer the questions and describe what is happening.",53c546e5-87c7-48d6-800c-62a61217988e
"Speaking: What Do You Think?",PB,31,,EMPTY,"","Use your eyes! 🧐 Look closely at the at the picture. Describe what is happening. Then, give your own answer to the reporter's question: 'Are young pe",bc1f44bf-ef89-421c-8c4b-99c2153c15da
"Describing Yemen's Attractions",PB,32,,EMPTY,"","Use your eyes! 🧐 Look closely at the at the picture of a Yemeni mountain village. Use the keywords and answer the questions to describe why this woul",6ecf56bc-e19d-47a9-b250-733120bdfa40
"Writing: Describe the Olive Process",PB,32,g12u4,EMPTY,"","Use your eyes! 🧐 Look closely at the at the flowchart. Write a paragraph describing how stuffed olives are produced. Use the Present Passive and sequ",1fd53420-354d-4b23-99d0-49c7cd4de829
"Describe the Storm",PB,33,,EMPTY,"","Use your eyes! 🧐 Look closely at the at the picture. Use words from the story to describe what is happening. Record or write your description.",53f0b52c-c5ab-4809-a712-0117d361bb7e
"Speaking: Describing the Scene",PB,34,,EMPTY,"","Use your eyes! 🧐 Look closely at the at the picture. Describe what you see. Then, answer the questions about how this relates to Umar's dream.",5d6fd531-3ae9-4677-a567-edc7d3e231b1
"Describe the Beehives",PB,35,,EMPTY,"","Use your eyes! 🧐 Look closely at the at the picture of traditional Yemeni beehives. Record yourself answering the questions below. Try to use vocabul",a9dfa9af-dac6-4851-9754-b7d4e1ef1816
"A Greener Yemen",PB,36,,EMPTY,"","Use your eyes! 🧐 Look closely at the at the picture of the terraced landscape in Yemen. Record or type your answers to the questions to describe what",b5cadc6e-1bb1-4e28-b928-be00326e7ed1
"The Ghost Ship",PB,37,,EMPTY,"","Use your eyes! 🧐 Look closely at the at the picture of the Mary Celeste. Answer the questions to prepare for the story.",a11efb9a-64a2-48f9-b879-011fa4d00be8
"Explore the Map of Britain",PB,38,,EMPTY,"","Use your eyes! 🧐 Look closely at the at the map of Britain from your Pupil's Book page 38. Answer the questions about what you can do in different pl",ef6a122a-4467-41a4-bf67-19a267e8b42d
"Forming a Theory",PB,38,,EMPTY,"","Use your eyes! 🧐 Look closely at the at the picture of the hurricane. Use the modal verbs `may have`, `might have`, and `could have` to write or reco",e8e18123-b270-4910-bb20-d3393e5831b8
"Your Turn: Talk About Birthdays",PB,38,,EMPTY,"","Use your eyes! 🧐 Look closely at the at the picture. Use the keywords and questions to help you describe the scene. You can write your description or",773ee26f-401e-4e46-af23-de1d538854e5
"Describe the Scene in Edinburgh",PB,39,,EMPTY,"","Use your eyes! 🧐 Look closely at the at the picture of a street in Edinburgh. Record yourself describing what you see. Try to use words from the less",d5f2bee1-7a74-4ef7-8d26-eb46c8409443
"Spot the Dangers",PB,39,g9u5,EMPTY,"","Use your eyes! 🧐 Look closely at the at the pictures from Pupil's Book page 39. For each picture, describe the dangers you can see.",d09cf9e9-984c-4fab-8797-b8556d9e6e46
"Describe the Scene",PB,40,,EMPTY,"","Use your eyes! 🧐 Look closely at the at the picture of the Moroccan market. Record yourself answering the questions. Try to use vocabulary from the l",5b21b617-ba00-4d98-a71d-1c4bb8e7c2c8
"Describe the Scene",PB,41,g9u5,EMPTY,"","Use your eyes! 🧐 Look closely at the at the pictures and answer the questions. You can record your answer or type it.",9103c487-190e-491f-9aa5-49247ee1a9af
"Describe the Picture: Dar al-Hajar",PB,42,,EMPTY,"","Use your eyes! 🧐 Look closely at the at the picture of the Palace on the Rock. Use the keywords to help you write or record a short description.",0d47c8b0-0b19-4142-89b2-ae363e3360d9
"Before You Read: What's Happening?",PB,43,,EMPTY,"","Use your eyes! 🧐 Look closely at the at the picture from page 43. Before you read the story, think about what might be happening. Answer the question",119e15c3-ec46-4e90-9c1c-c577c11907d3
"At the Casualty Department",PB,45,,EMPTY,"","Use your eyes! 🧐 Look closely at the at the picture of the hospital. Describe what is happening using the vocabulary and grammar from this lesson. An",38a5917c-8bc9-4126-82c8-0330f76d940c
"Discussing the Job",PB,46,,EMPTY,"","Use your eyes! 🧐 Look closely at the at the picture of the planning officer. Based on the reading, describe his job and explain what he likes about i",52446359-cfc6-4211-b3c5-ef6c38a91e71
"Describe the Emergency",PB,47,g9u6,EMPTY,"","Use your eyes! 🧐 Look closely at the at the picture. Answer the questions using the vocabulary and grammar you have learned.",d16e50a0-2732-4d2c-881f-9a2d43a3894b
"Describe the Exercise",PB,47,,EMPTY,"","Use your eyes! 🧐 Look closely at the at the picture. Answer the questions to describe the exercise. You can record your answer or type it.",67f77981-f4e9-4be7-8b7b-2ff7e154f443
"Reflecting on a Career",PB,47,,EMPTY,"","Use your eyes! 🧐 Look closely at the at the picture of Dr. Suleiman Badawi. Based on the article you read, answer the questions to reflect on his lif",af040676-039f-4c14-8ac5-eceba9ed345a
"Who is this Person?",PB,47,,EMPTY,"","Use your eyes! 🧐 Look closely at the at the picture. Who do you think this person is? What is his job? Before you read the article, think about what ",673eb6a2-5940-4463-96bb-1035d5659947
"Describe the Scene",PB,49,,OTHER,"new_image_needed","Use your eyes! 🧐 Look closely at the at the picture. Answer the questions to describe what is happening. Use the new vocabulary and grammar.",b60a6e5b-965e-4ac7-90de-6e4273945535
"Speaking: Describing the Scenery",PB,49,,EMPTY,"","Use your eyes! 🧐 Look closely at the at the picture from the article. Prepare to answer the questions. You can record your answers to practice speaki",33a5fe5c-d162-4df0-9128-a48c21e06d14
"Describe the Scene: Prevention",PB,50,,EMPTY,"","Use your eyes! 🧐 Look closely at the at the picture showing how to fight germs. Describe what you see using the keywords. You can record your descrip",791c1855-c39f-441e-9a62-2c5603d2881a
"Doctor on a House Call",PB,52,,EMPTY,"","Use your eyes! 🧐 Look closely at the at the picture. Answer the questions to describe what is happening.",8d563f0d-e96a-40c7-9ad3-ba05f722fb44
"What's Happening?",PB,53,,EMPTY,"","Use your eyes! 🧐 Look closely at the at the picture. Answer the questions using the vocabulary you have learned. You can write your answers or record",585ebfa3-b0cf-4db5-963c-b650013dee75
"Surgery Before Antiseptics",PB,55,,EMPTY,"","Use your eyes! 🧐 Look closely at the at the image of a 19th-century surgery. Answer the questions to describe what you see and think about why Joseph",e1aabd3a-79ec-4588-b156-94935b8810be
"What Did He Do?",PB,59,g7u8,EMPTY,"","Use your eyes! 🧐 Use your eyes! 🧐 Look closely at the carefully at the at the pictures from the song. Describe what the boy did in each picture. Use",2b270b16-781b-469b-b995-185d75181329
"Describe the Pictures",PB,71,g8u7,EMPTY,"","Use your eyes! 🧐 Look closely at the at the pictures from the song and answer the questions. You can write or record your answers.",96a4a093-70b1-488b-be70-b657ff1ea86c
"Describe What You See",PB,null,,EMPTY,"","Use your eyes! 🧐 Look closely at the at the image. Use the vocabulary from the lesson to describe its shape and what it is made of. Record or type yo",a3070c30-d397-4b85-9782-a754ca18a09e
"Describing Yemen's Geography",WB,1,,PLACEHOLDER,"needed","Use your eyes! 🧐 Look closely at the at the picture of Yemen. Use the keywords and answer the questions to write a short descriptive paragraph. This ",d8eed50f-96e5-4070-8967-32a7693fe053
"Describe the Location",WB,2,g12u1,EMPTY,"","Use your eyes! 🧐 Look closely at the at the map. Based on the dialogue you heard, describe the location of Andy and Mike at the end of the conversati",9f6969de-3d51-4e0f-b857-052b3b4e1dc1
"Trace the Numbers (6-10)",WB,2,,OTHER,"ID: 921","Use your eyes! 🧐 Look closely at the at the worksheet from Workbook page 2. Say the numbers you see. You can trace them with your finger on the scree",81d7ccf4-4d3e-4eca-aed0-740dacd02fb4
"Writing Instructions: Planting a Tree",WB,2,,EMPTY,"","Use your eyes! 🧐 Look closely at the at the flow chart that shows how to plant a small tree. Write a paragraph explaining the steps. Use sequence wor",05e039b4-4e2b-4454-be47-3e76eabd1bb6
"Describe a Person",WB,3,,EMPTY,"","Use your eyes! 🧐 Look closely at the at Man C in the picture. Write a short description of him (2-3 sentences). Use the keywords to help you. This is",4765afa4-4049-4e9a-bfa5-76adf9907d4f
"Plan Your Description",WB,3,g12u1,OTHER,"gen-g12-u1-1.12-img-8","Use your eyes! 🧐 Look closely at the at the image. Use the prompts to help you prepare for the writing task in your Workbook (Activity A, page 3). Th",ad4d638e-e5c4-4a92-a6a5-d6eee5ecef9d
"Write Your Story",WB,3,g8u7,EMPTY,"","Challenge yourself! 📝 Select the best option for one picture. Imagine you are this person. Write a short paragraph (3-4 sentences) about what you did",2c49609a-48f7-476d-b5f9-35ea333d50c7
"Describe the Airplane",WB,4,,EMPTY,"","Use your eyes! 🧐 Look closely at the at the picture of the airplane. Use the keywords and answer the questions to write a full description.",796b5f05-4b5c-44a6-b63e-e4e4e75b6186
"Describe the Landscape",WB,5,g12u4,PLACEHOLDER,"needed","Use your eyes! 🧐 Look closely at the at the image of the Yemeni highlands. Record yourself or write a short paragraph (3-5 sentences) describing it. ",20f289b3-87fb-497e-b4c9-7b99fc996dbc
"Describe the Pictures",WB,11,g7u2,EMPTY,"","Use your eyes! 🧐 Look closely at the at the picture and answer the questions using full sentences.",d99c5391-efdd-4475-b478-5989d7f86f37
"Memory Game",WB,12,g10u1,OTHER,"image-g10-u1-1.15-4","Use your eyes! 🧐 Look closely at the at the picture of the busy street for 30 seconds. Try to remember as many details as you can. Then, the picture ",b40e5ef7-7404-4470-b82a-8bf553206b36
"Production: Describe the Furnished Room",WB,34,g10u3,PLACEHOLDER,"needed","Use your eyes! 🧐 Look closely at the at the picture of the completed living room. Answer the questions using full sentences and positional phrases.",6a9d7c6d-03e6-4490-9895-804040316b53
"Describe the Car Controls",WB,39,,EMPTY,"","Use your eyes! 🧐 Look closely at the at the image of the car's interior. Answer the questions using full sentences and the infinitive of purpose (e.g",6323bde0-5a78-4180-af81-8b4bbbff7cc6
"Describe the Action",WB,47,g7u6,EMPTY,"","Use your eyes! 🧐 Use your eyes! 🧐 Look closely at the carefully at the at the picture and answer the question. Write a full sentence.",58840c4d-70ff-4723-b23e-afc83242bf27
"Describe Her",WB,52,,OTHER,"lost_girl.png","Use your eyes! 🧐 Look closely at the at the picture of the girl. Answer the questions to describe her, just like the parent in the conversation.",22cd46ed-76b8-4742-ab11-26862c5a4cd9
"What's Your Opinion?",WB,53,g10u4,OTHER,"image_of_sad_lion_in_cage.png","Use your eyes! 🧐 Look closely at the at the picture. Then, answer the questions to express your opinion. You can record your answer.",38f95439-eb41-4aec-ae60-be9ccffe31cc
"What Are They Saying?",WB,60,,EMPTY,"","Use your eyes! 🧐 Look closely at the at the picture and write the conversation. Use the expressions you have learned. This activity is based on Workb",d38e9316-554d-4d29-a57d-f137f0f1e366
"Describing Hadrian's Wall",WB,64,g10u5,PLACEHOLDER,"needed","Use your eyes! 🧐 Look closely at the at this picture of Hadrian's Wall. Use the keywords and answer the questions to get ideas for the next part of y",c5bdfffb-91a7-46f5-888f-30c46fddfb7a
"Describe Yemen's Attractions",WB,69,,OTHER,"gen-g11-u5-5.2-img-9","Use your eyes! 🧐 Look closely at the at the image of a Yemeni attraction. Use the keywords to describe what you see and answer the questions. You can",cca0721a-8c1d-475a-9127-d9dd8373258b
"Discussion: Is It a Good Idea?",WB,75,,PLACEHOLDER,"needed","Use your eyes! 🧐 Look closely at the at the picture. Imagine you are this person's friend. Answer the questions to discuss the pros and cons of this ",4b8281b7-f74f-4ce5-bee1-46e208e435e7
"Yemen's Treasures: Trip Inspiration",WB,75,g10u5,EMPTY,"","Use your eyes! 🧐 Look closely at the at the image of a famous place in Yemen. Answer the questions to get ideas for the itinerary you will write.",f3f5b5bb-d35a-4476-a21b-012f8b3d550e
"What to do in a Road Accident",WB,95,,EMPTY,"","Use your eyes! 🧐 Look closely at the at the pictures in order. For each picture, write one instruction telling someone what to do. Use 'If...' or an ",a9f6ab06-141c-4970-b6ee-2712687b2593
"Tell the Story",WB,98,,EMPTY,"","Use your eyes! 🧐 Look closely at the at the picture. Write a short story about what happened. Use at least three sentences with more than one clause ",4ca64def-e9ff-4b02-ac37-d1d6d5f7af02
"Explore the Villa Plan",WB,101,,EMPTY,"","Use your eyes! 🧐 Look closely at the at the floor plan of the villa from your Workbook page 101. Answer the questions about the layout.",71dfc287-2688-4db9-9c90-0ad80035f5ea
"Brainstorm: Describe a Place",,,g10u5,OTHER,"image-of-socotra-dragon-tree","Prepare to write a description of a place of interest in Yemen. Use your eyes! 🧐 Look closely at the at the picture and use the questions to brainsto",4e060a83-4ff9-49e2-8d98-0f751bc66afc
"Describe the Scene",,,g10u3,OTHER,"gen-g10-u3-3.14-img-8","Use your eyes! 🧐 Look closely at the at the image of the shipwreck. Record yourself or write a short paragraph describing what you see. Try to use th",8344ac6d-1319-46e5-9777-2a5451841b1a
"Give Directions from the Map",,,g10u3,OTHER,"gen-g10-u3-3.7-img-9","Use your eyes! 🧐 Look closely at the at the map. Imagine you are at the start (★). A tourist asks you how to get to the Post Office. Write the direct",561852f4-506d-4073-b5f6-3108fa1b199a
"The Messy Room",,,g10u3,EMPTY,"","Use your eyes! 🧐 Look closely at the at the picture of the room after the party. Before the guests left, what had happened? Write 3-4 sentences using",01be7c46-525b-4e3e-924e-7ffc6dcdd9e0
"What Have They Got?",,,g7u2,EMPTY,"","Use your eyes! 🧐 Look closely at the at the picture and type a sentence to answer the question.",f5cd3cdc-6fac-4e04-a94b-e6a0df61e30b
"What's in the First-Aid Kit?",,,,OTHER,"A red first-aid box, open to show its contents.","Use your eyes! 🧐 Look closely at the at the image of the first-aid kit. Describe what you see and what each item is used for. Use words from the unit",211a2838-2299-4db6-a614-a64d8fc539a3
"Write Your Own Story",,,g10u4,PLACEHOLDER,"needed","Use your eyes! 🧐 Look closely at the at the picture. Imagine you had a frightening or exciting experience in a boat or car. Write a short paragraph (",a4b7a764-a706-47e6-94b6-de96792c5d8f
